12.2 million with 512 Dimensions vectors.


system : m20 base cluster + 3 * s50 search nodes.

Non Staggered :
Host CPU count 192
======================================================================================================================================================
Pipeline                                 RPM      Threads  Sample   Reqs     NumCand   topK    P50(ms)    P70(ms)    P95(ms)    P99(ms)   
functionalHybrid               50000      70334.3    64       100      50000    50000 (100.0%) 0        300       100      50.63      62.14      90.08      111.84    
functionalHybrid               50000      56373.6    64       100      50000    50000 (100.0%) 0        500       100      54.88      74.06      146.82     204.76    
functionalHybrid               50000      29509.6    64       100      50000    50000 (100.0%) 0        500       250      127.09     161.34     233.70     647.39    
functionalHybrid               50000      16274.4    64       100      50000    50000 (100.0%) 0        500       500      253.63     309.51     439.75     806.99    
functionalHybrid               50000      62057.1    128      100      50000    50000 (100.0%) 0        100       100      132.50     156.32     208.89     255.80    
functionalHybrid               50000      69962.2    128      100      50000    50000 (100.0%) 0        300       100      108.71     136.17     191.13     241.79    
functionalHybrid               50000      53004.6    128      100      50000    50000 (100.0%) 0        500       100      131.97     167.64     320.01     509.76    
functionalHybrid               50000      23473.3    128      100      50000    50000 (100.0%) 0        500       250      330.93     382.42     579.33     922.40    
functionalHybrid               50000      12842.3    128      100      50000    50000 (100.0%) 0        500       500      618.89     712.02     1001.28    1292.28   
functionalHybrid               50000      66175.5    256      100      50000    50000 (100.0%) 0        100       100      101.27     153.49     252.14     611.89    
functionalHybrid               50000      60131.9    256      100      50000    50000 (100.0%) 0        300       100      163.07     198.87     376.84     911.63    
